Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
KIF1C,974.5,1225.22,1304.15,1794.29,1561.89,480.04,909.17,848.22,1407.55,1295.13,387.02,928.3,764.36,1268.46,483.38,1757.34,981.29,507.46,961.07,884.29,1551.09,743.43,1167.14,483.38,902.89,447.82,1143.1
SWAP70,387.02,575.03,733.19,633.73,1674.06,426.57,289.02,547.75,551.56,379.04,759.08,902.89,325.29,595.34,181.28,525.39,575.03,258.57,320.8,358.54,518.15,941.27,642.59,441.64,389.72,483.38,748.61
PAK1,748.61,693.58,1583.71,1059.11,1015.93,173.85,860.08,1001.93,642.59,486.75,1870.53,830.75,2835.7,1457.23,2664.15,536.45,878.17,2400.97,748.61,6935.54,674.59,1001.93,941.27,1151.06,616.37,688.78,595.34
PLEKHM3,31.22,23.25,22.43,48.87,31.45,55.89,17.25,10.39,8.85,9.41,220.32,29.91,20.11,38.67,22.59,11.55,28.86,45.21,27.44,4.74,22.1,21.78,8.65,8.92,12.93,45.21,27.25
MCFD2,928.3,1295.13,1088.92,890.44,1331.57,708.18,651.58,941.27,743.43,708.18,1023,1407.55,1119.56,961.07,974.5,830.75,1388.16,1073.91,921.88,693.58,921.88,1111.82,728.11,629.35,743.43,1844.76,1037.29
RBM12,1001.93,878.17,848.22,941.27,1242.34,780.44,995,555.41,595.34,339.14,808,854.13,909.17,1088.92,854.13,674.59,1044.52,1151.06,748.61,579.04,775.05,1066.48,518.15,579.04,967.76,1199.98,718.08
KRT86,1.01,31.45,5.32,22.43,51.35,267.73,3.99,4.54,8.78,3190.46,22.59,232.94,6.52,17.13,1.48,450.94,12.18,1.36,6.46,16.03,27.05,7.06,21.94,61.25,24.11,1628.26,16.03
PSMD12,974.5,1104.13,733.19,616.37,1119.56,1427.22,1605.83,928.3,669.92,457.25,525.39,1870.53,785.88,769.69,1498.22,961.07,1977.24,890.44,1628.26,660.68,669.92,1457.23,518.15,748.61,1540.37,1467.37,1081.39
SLC7A11,53.19,5.23,9.2,24.81,11.3,5.54,4.58,21.32,8.51,5.92,190.34,37.85,41.81,11.13,18.03,88.88,30.78,28.45,13.83,87.65,21.01,167.9,4.03,21.16,9.63,7.46,36.53
BTN3A1,320.8,397.93,172.65,854.13,438.59,248,232.94,381.68,551.56,633.73,669.92,237.86,74.06,343.89,224.97,209.84,785.88,217.27,305.55,341.51,420.68,384.34,441.64,684.02,409.15,493.56,591.22
SFTPB,1.03,13.22,0,5.28,0,5.54,0,1.83,3.63,3,3.72,1.43,0,1.93,0,1.04,1.83,0,0.38,1.16,0.42,2.68,0,10.88,5.32,1.06,2.29
LPIN1,251.48,118.43,122.64,285.03,316.37,244.57,66.18,127.89,136.19,251.48,246.28,248,116.78,241.19,211.31,146.03,426.57,318.57,769.69,87.03,105.89,175.07,153.34,181.28,98.04,125.24,212.78
NT5C1A,0.58,0,0.66,1.28,0.66,0.62,0,0.31,0,0,0,0.3,0,0,1.33,0,0,0,0,0,0,0.59,1.28,0,0.27,0.29,0
L3MBTL2,583.07,320.8,612.11,525.39,447.82,688.78,466.88,417.77,674.59,387.02,460.44,441.64,497,518.15,591.22,363.56,193.01,466.88,397.93,559.28,358.54,400.71,423.61,463.65,423.61,693.58,759.08
SLC9A9,58.3,42.71,43.02,131.51,88.26,70.01,57.08,68.07,62.56,63.45,221.86,24.11,4.7,63.45,46.84,41.22,132.44,23.93,30.12,27.05,44.89,54.33,119.26,54.72,15.56,69.03,56.28
ST7L,454.09,167.9,376.41,376.41,339.14,215.77,244.57,417.77,323.03,127.89,264.03,334.46,260.38,258.57,336.79,381.68,273.37,151.22,341.51,217.27,460.44,248,224.97,273.37,220.32,162.14,271.48
SYT2,0.34,0.73,0.72,1.35,1.07,4.54,1.08,1.04,0.96,1.07,9.41,0.36,0.64,1.08,0.38,0.35,1.69,0,0.93,1.07,0.38,0,0.69,0,0.33,1.28,2.48
CACNA2D4,55.1,82.87,74.06,141.02,64.8,24.28,45.21,108.9,95.34,58.3,91.41,49.91,56.28,64.8,132.44,68.55,27.25,23.42,45.85,34.26,38.12,159.9,55.1,7.17,19.53,25.54,97.36
ZNF84,642.59,376.41,323.03,346.29,432.53,406.31,476.71,371.22,466.88,381.68,599.49,339.14,547.75,381.68,447.82,198.47,723.08,559.28,1030.12,291.04,325.29,237.86,275.28,406.31,503.95,603.67,289.02
RBP2,54.72,1.73,5.36,38.4,0,84.04,1.07,5.59,4.82,81.14,4.28,0,14.78,9.2,0.71,0,0,0,0,21.78,7,0,3.92,0,3.76,26.47,1.07
HLA-DQB1,3443.31,6294.04,3372.43,11189.6,4123.49,387.02,2209.26,269.6,1819.35,12160.22,500.46,660.68,208.38,2163.77,42.71,1519.15,3168.41,915.51,1127.35,2855.44,1870.53,825,8718.32,1467.37,1551.09,4607.24,563.18
DPP4,72.52,112.77,28.24,127.89,231.32,41.81,52.82,130.6,39.79,71.5,191.67,20.11,6.67,358.54,38.12,38.4,126.12,3.79,42.11,20.71,86.43,134.3,163.28,77.25,65.72,24.63,159.9
LRRC36,13.12,1.08,29.48,24.28,12.83,29.48,4.58,24.28,22.92,4.94,60.39,1.35,7.34,7.82,4.17,5.02,32.59,2.86,3.63,6.94,22.92,14.03,34.51,0,29.48,5.36,8.51
ATP5D,1639.59,1950,1733.13,3467.27,1583.71,3443.31,2720.15,1088.92,2664.15,3982.99,218.79,3280.18,1662.49,2119.22,2032.85,1447.15,647.07,1447.15,1295.13,2303.12,3060.45,2303.12,4671.57,2104.58,1388.16,1447.15,1250.98
LAMB3,104.42,146.03,521.76,232.94,961.07,454.09,178.77,339.14,1340.84,525.39,373.81,941.27,28.65,684.02,28.45,1806.78,169.07,96.68,117.6,358.54,921.88,220.32,181.28,379.04,130.6,49.56,693.58
MRPL34,1781.89,842.36,1529.73,1551.09,872.1,1909.85,1350.18,1498.22,1709.26,1143.1,358.54,665.29,1359.57,1397.83,1733.13,1781.89,753.83,1023,1199.98,1304.15,1135.2,1378.57,2573.36,1397.83,1519.15,1015.93,830.75
C19orf57,103.69,38.4,48.87,104.42,59.13,154.42,20.41,96.68,124.37,97.36,75.11,149.12,108.9,67.59,406.31,155.5,94.01,447.82,28.65,10.71,76.17,69.52,62.12,81.14,152.28,185.11,106.63
BNIP3L,1594.73,1572.76,2090.03,1467.37,1923.14,3564.78,2351.53,2271.4,1286.18,536.45,2434.5,1183.45,1359.57,2047,1322.37,718.08,1685.71,1111.82,1477.58,698.41,1923.14,1721.16,2047,2133.97,1697.45,1081.39,1208.34
NT5DC2,356.05,3325.99,915.51,521.76,563.18,1857.6,1119.56,769.69,1277.29,6699.25,201.25,1685.71,457.25,693.58,713.11,1923.14,808,1175.27,246.28,1088.92,1216.75,447.82,909.17,1159.07,1437.15,656.11,1519.15
CFP,16.75,22.26,36.01,80.57,244.57,132.44,82.87,15.91,101.54,90.77,60.82,30.34,7.57,23.76,21.78,57.49,50.27,6.89,21.63,29.27,19.53,17.13,204.07,28.24,8.51,43.63,13.93
C4orf47,155.5,35.5,9.41,44.89,47.5,84.04,40.07,77.79,21.32,43.02,18.56,47.5,40.64,72.01,23.42,11.82,69.03,23.93,49.91,35,40.07,32.36,52.08,94.67,97.36,38.4,50.63
TSFM,1313.23,1167.14,1304.15,890.44,995,1477.58,1151.06,884.29,974.5,1277.29,420.68,921.88,1340.84,693.58,890.44,1159.07,890.44,759.08,1457.23,1350.18,1001.93,1088.92,1096.5,536.45,967.76,2032.85,967.76
DDR1,3515.68,4095,3103.19,2835.7,3325.99,4123.49,5006.93,1909.85,3190.46,3716.2,2303.12,2271.4,3928.15,9673.69,5183.54,2855.44,1159.07,3639.7,2018.8,2485.67,6699.25,6561.36,2061.24,3794.3,2061.24,3419.52,2609.3
MEIS3,356.05,381.68,470.14,559.28,532.74,299.25,896.64,454.09,1159.07,414.87,215.77,68.55,988.12,669.92,819.3,162.14,137.14,1044.52,73.54,791.35,921.88,559.28,1304.15,141.02,191.67,642.59,638.15
OR2H2,1.3,0,0,0,1.11,5.45,0,0,0.67,2.92,4.54,1.04,0,0.77,0.39,0,3.17,0,2.2,0,0,0,0,0,0.34,0.36,0
SCNN1G,748.61,0,9.63,23.42,20.86,44.57,89.51,4.98,13.22,4.78,51.35,38.67,59.55,138.1,130.6,57.08,87.65,113.56,3.53,4.74,14.45,26.86,4.9,98.04,231.32,3.35,32.13
KIF1B,195.72,189.02,181.28,211.31,283.05,420.68,194.36,271.48,136.19,169.07,420.68,251.48,155.5,299.25,267.73,248,878.17,343.89,339.14,76.71,182.55,353.59,138.1,232.94,204.07,281.09,392.44
PMEPA1,297.17,2351.53,1295.13,1127.35,1529.73,934.76,642.59,2090.03,1896.65,866.07,279.14,1088.92,267.73,708.18,384.34,1561.89,400.71,163.28,567.1,341.51,1572.76,426.57,2148.82,713.11,320.8,339.14,1844.76
MARVELD3,113.56,361.04,327.56,251.48,320.8,947.83,529.06,441.64,307.69,679.29,277.2,353.59,346.29,334.46,307.69,547.75,336.79,366.09,305.55,76.17,420.68,171.45,199.85,305.55,185.11,420.68,429.54
C9orf152,23.42,470.14,236.21,417.77,241.19,1208.34,540.19,674.59,642.59,607.87,343.89,2.81,20.11,348.71,775.05,15.91,26.67,387.02,11.13,51.71,389.72,48.87,291.04,791.35,136.19,1023,334.46
RGPD8,13.93,45.85,9.56,58.3,71.5,20.56,18.03,32.59,9.48,6.89,191.67,46.5,55.89,32.59,32.36,20.26,65.72,17.38,73.03,11.64,27.84,20.71,9.85,23.76,17.77,65.26,37.85
ANKH,397.93,1081.39,1313.23,718.08,1991,417.77,595.34,1977.24,961.07,406.31,323.03,507.46,392.44,567.1,543.96,1769.57,1781.89,159.9,1216.75,995,1104.13,808,575.03,299.25,237.86,234.57,2758.13
TIMM17B,1857.6,1561.89,1233.75,1457.23,674.59,1143.1,2434.5,878.17,1295.13,3257.52,703.28,1936.53,1066.48,1540.37,2148.82,2148.82,1594.73,1151.06,1397.83,2119.22,1572.76,1540.37,1651,1369.04,3060.45,3081.75,1427.22
MYLK3,1.19,3.99,0.34,2.84,0.34,2.51,0.68,0.33,1.48,2.34,4.98,1.89,13.22,1.71,0.34,0.3,1.93,0.31,3.17,0.34,2.32,1.2,0,5.19,4.5,113.56,1.03
C8G,12.74,12.36,4.46,7,10.88,11.91,4.17,23.59,3.69,181.28,12.74,11.21,6.16,10,2.29,32.59,9.56,7.94,21.63,9.13,15,14.67,7.06,13.03,7.82,5.06,3.47
ZMAT2,2537.92,1572.76,2061.24,2032.85,1883.54,3395.89,2148.82,1662.49,2148.82,2240.11,1331.57,1923.14,2537.92,2119.22,2609.3,2224.63,1923.14,1225.22,1059.11,3395.89,2032.85,2090.03,1963.57,3103.19,3325.99,2645.74,1991
TBX5,10.55,25.91,41.22,30.34,21.32,26.67,15.56,80.57,25.17,23.59,21.47,5.54,1.07,30.56,15.56,16.63,28.65,1.1,9.41,15,53.19,28.04,50.98,10.39,50.98,12.74,56.68
PPFIA2,3.5,43.02,11.21,9.78,33.54,4.39,8.58,35.76,9.41,10.31,16.75,4.39,3.47,6.57,11.82,6.41,8.58,2.97,6.16,5.73,8.13,20.56,12.83,0,4.58,5.82,19.25
RAD51D,185.11,142.01,136.19,246.28,119.26,256.78,106.63,134.3,214.27,89.51,239.52,172.65,185.11,237.86,169.07,166.73,228.13,660.68,122.64,107.38,193.01,199.85,197.09,107.38,215.77,232.94,209.84
NPTX2,1.13,8.51,48.52,13.93,151.22,20.56,6.31,15.11,18.84,117.6,18.43,12.74,4.13,14.14,6.16,30.12,7.51,3.23,31.9,16.15,36.01,10.47,22.1,6.46,7.94,3.92,32.59
MASP1,3.76,3.96,0.32,4.7,12.09,0.92,4.62,1.93,4.66,6.62,18.84,0.92,0,3.69,3.26,5.02,7.28,3.56,0.56,1.31,3.26,2.07,15.34,0,3.35,1.48,5.02
SPTA1,0.3,5.02,0.69,14.89,7.57,3.32,2.14,13.83,4.1,0,19.25,0.66,0,2.89,0,0.62,10.16,3.86,0.3,3.92,3.89,3.53,5.5,0,0.89,4.5,7.34
RHOG,836.53,1397.83,1143.1,1832.01,1685.71,1159.07,941.27,1781.89,1467.37,2119.22,244.57,1639.59,718.08,1225.22,830.75,1551.09,1119.56,1104.13,1313.23,902.89,1216.75,1208.34,2319.15,1331.57,896.64,934.76,1331.57
UBA6,529.06,575.03,351.14,444.72,476.71,346.29,253.23,336.79,309.83,165.57,848.22,563.18,341.51,575.03,624.99,189.02,785.88,866.07,275.28,180.02,289.02,567.1,125.24,351.14,164.42,460.44,563.18
NFAM1,30.78,108.14,73.54,100.13,105.89,62.56,24.28,110.43,161.02,140.04,115.16,48.52,2.51,40.36,40.93,108.9,34.51,26.28,13.62,50.27,67.59,60.82,80.01,90.14,23.08,90.14,40.93
KIAA0947,368.65,447.82,193.01,260.38,332.14,279.14,133.36,232.94,193.01,161.02,587.13,161.02,205.5,277.2,307.69,301.33,490.14,205.5,361.04,281.09,271.48,297.17,148.09,279.14,490.14,218.79,460.44
CPSF4L,0,5.45,6.11,4.21,1.69,30.56,2.73,1.99,0,5.15,9.41,9.56,14.24,0,23.93,1.22,0.99,2.16,1.17,1.01,3.72,1.22,9.78,0,2.01,6.16,1.38
HIST1H1E,17.9,11.21,3.32,3.92,16.27,20.86,24.63,5.54,10.31,65.72,6935.54,5.36,20.71,28.65,16.51,7.22,14.56,17.9,13.72,11.91,6.78,25.72,15.91,0,37.32,15.45,13.83
CLCN4,4.21,12.64,8.99,30.34,34.26,6.01,11.04,7.51,12.93,23.93,55.49,104.42,1.53,18.43,4.39,127,309.83,3.11,110.43,10,24.81,6.67,21.01,10.16,44.25,8.45,17.13
UBAP2L,3794.3,2047,3190.46,3690.52,2434.5,3372.43,4769.75,3372.43,2645.74,3665.02,1498.22,3257.52,1963.57,3372.43,2573.36,2434.5,4388.98,2915.45,4639.29,3716.2,4038.61,5255.91,2502.97,3168.41,4268.94,2367.9,2224.63
C1orf189,16.27,6.67,0,0,2.68,5.96,4.06,7.82,5.92,0,6.67,1.91,2.07,0,2.01,0,0,5.15,0,36.01,17,0,2.89,0,23.08,22.92,5.77
ZNF638,1923.14,2351.53,1769.57,1697.45,1896.65,2255.7,1617,2758.13,2468.49,1991,4210.15,1733.13,2047,2434.5,2119.22,1135.2,2895.31,2434.5,3467.27,1844.76,2018.8,1781.89,1963.57,2367.9,1806.78,2133.97,1769.57
CCL28,29.7,981.29,8.99,53.57,212.78,195.72,71,23.08,1199.98,466.88,366.09,493.56,63.45,518.15,3.82,80.57,139.07,3.5,2.73,9.7,381.68,59.13,318.57,45.53,486.75,12.83,24.81
DCUN1D1,525.39,603.67,435.55,381.68,432.53,733.19,423.61,400.71,305.55,267.73,896.64,1081.39,438.59,414.87,595.34,438.59,708.18,466.88,351.14,269.6,297.17,688.78,215.77,414.87,796.86,466.88,503.95
RTN4,5041.77,4328.55,5751.61,4095,8363.13,4869.99,4358.66,6294.04,4972.34,4481.23,3614.55,5255.91,6250.56,7695.57,4512.4,2758.13,2976.74,4575.41,3589.58,2502.97,5711.87,10440.2,6381.92,3515.68,2148.82,5076.84,5594.3
CDK9,825,1417.35,1051.79,1674.06,1233.75,1216.75,909.17,1832.01,1427.22,2224.63,490.14,764.36,1151.06,1008.9,1030.12,583.07,902.89,1066.48,785.88,708.18,921.88,603.67,1551.09,769.69,1030.12,1001.93,591.22
TANGO2,660.68,351.14,483.38,612.11,454.09,366.09,323.03,400.71,703.28,376.41,409.15,379.04,435.55,470.14,397.93,353.59,190.34,490.14,151.22,521.76,397.93,432.53,470.14,381.68,450.94,825,808
FAM227A,84.63,14.89,25.17,30.34,17.64,38.67,20.26,42.71,34.26,44.57,71.5,24.46,56.68,35.5,35.25,27.64,60.82,62.12,28.45,32.13,20.56,16.88,11.3,101.54,21.78,40.64,41.52
SMARCD1,713.11,1295.13,813.63,1104.13,1015.93,1487.87,947.83,1295.13,1417.35,1191.69,780.44,753.83,1088.92,1044.52,1369.04,1304.15,1151.06,961.07,753.83,1208.34,961.07,753.83,802.41,808,1119.56,1359.57,866.07
SLC35F1,0.92,1.71,3.41,1.31,4.1,4.46,3.44,7.63,0.92,1.04,8.51,2.89,4.17,2.78,5.36,0.93,12.74,4.31,2.94,2.39,2.05,1.25,2.63,0,0.3,0.95,4.5
NKPD1,7.17,6.67,1.39,4.7,1.75,13.93,3.53,3.44,1.87,10.96,5.28,4.94,6.46,4.66,3.82,1.58,2.03,1.6,6.06,3.86,4.54,3.79,2.01,12.09,10.47,8.58,1.43
LUM,18560.17,18052.61,26248.46,15392.14,15715.58,10959.3,12676.65,67377.47,11035.54,11664.82,8658.09,4903.87,450.94,11992.79,8778.97,8901.53,20593.91,2209.26,7695.57,9409.14,20310.37,15934.98,34396.12,6426.31,12676.65,4802.93,31870.96
AURKB,279.14,579.04,136.19,158.79,30.56,503.95,271.48,182.55,674.59,684.02,82.87,1051.79,111.99,199.85,473.41,1594.73,909.17,587.13,624.99,575.03,157.68,171.45,133.36,647.07,2384.37,595.34,299.25
PWWP2A,204.07,193.01,256.78,237.86,199.85,154.42,209.84,249.73,214.27,156.59,312,193.01,164.42,234.57,269.6,126.12,242.88,197.09,143.01,189.02,167.9,312,148.09,143.01,170.25,181.28,194.36
FAM96A,1639.59,1447.15,1073.91,764.36,656.11,1008.9,1923.14,1477.58,1477.58,1242.34,1508.65,2555.58,785.88,1277.29,1794.29,1769.57,1001.93,703.28,1030.12,1605.83,1008.9,1628.26,1191.69,1617,842.36,1313.23,1697.45
RPS6,22692.63,33688.23,71714.63,42054.3,55107.99,40621.74,72213.45,65990.84,51062.33,30151.71,34396.12,70238.75,57051.4,61571.56,77934.88,53601.03,129266.49,54727.32,47642.77,65082.31,60304.42,19618.49,90773.53,79572.48,67846.12,18052.61,39237.98
BIRC5,314.17,651.58,260.38,157.68,56.28,1208.34,450.94,201.25,616.37,507.46,258.57,1605.83,70.51,438.59,748.61,2209.26,961.07,909.17,1605.83,547.75,195.72,555.41,135.24,387.02,2255.7,555.41,616.37
SNPH,77.25,264.03,142.01,81.71,75.64,49.56,320.8,21.01,63.89,189.02,31.67,6.73,11.13,34.51,34.75,7.69,12.93,22.26,178.77,9.2,31.22,9.56,76.71,3.72,10.47,92.7,54.33
XRCC5,3280.18,4769.75,4769.75,2796.65,3928.15,6037.61,3564.78,4836.35,3614.55,3257.52,5006.93,5517.27,3325.99,4328.55,2434.5,3146.52,2720.15,3540.14,5913.33,2573.36,2976.74,4010.71,3716.2,4481.23,3349.13,4736.79,3124.78
ZNF558,224.97,206.94,271.48,392.44,297.17,193.01,190.34,246.28,258.57,141.02,866.07,397.93,463.65,295.11,209.84,218.79,72.52,267.73,384.34,329.84,271.48,325.29,186.4,351.14,153.34,358.54,173.85
CADPS2,100.83,218.79,1242.34,161.02,743.43,348.71,368.65,175.07,547.75,941.27,1159.07,138.1,466.88,376.41,242.88,417.77,343.89,64.34,55.49,384.34,872.1,128.79,595.34,381.68,265.87,988.12,595.34
CCDC84,297.17,412,199.85,307.69,295.11,176.29,100.13,249.73,229.72,454.09,320.8,163.28,239.52,159.9,480.04,318.57,403.5,223.41,583.07,264.03,173.85,312,397.93,363.56,281.09,291.04,231.32
EEPD1,92.05,98.04,198.47,232.94,366.09,134.3,108.9,176.29,241.19,96.68,204.07,153.34,69.03,295.11,178.77,59.13,273.37,39.79,187.71,80.57,241.19,172.65,409.15,93.35,104.42,43.02,275.28
RP11-849F2.7,4.5,1.71,1.36,4.21,3.72,7.94,1.71,3.32,0.61,0,8.45,5.11,14.45,5.19,14.03,2.76,14.35,2.78,3.23,0.35,6.36,3.38,0.66,2.2,5.45,8.85,2.1
RBM24,320.8,5.73,890.44,514.56,31.67,4.39,50.63,8.92,8.13,6.41,11.38,12.74,2701.35,123.5,5.63,26.28,13.12,36.79,1.33,63.89,31,10.47,262.2,0,49.21,2.34,14.56
DDX25,0.35,0.73,0,3,2.81,0.69,0.39,1.06,1.58,0,4.35,21.16,0,8.45,4.46,1.28,1.38,1.3,2.43,1.77,2.43,0.36,2.36,0,0,1.3,4.24
SDHC,4419.52,3146.52,7280.4,3768.09,3325.99,5479.15,7433.4,5954.47,3955.48,4298.64,1617,5633.22,2502.97,3982.99,2682.69,4123.49,4123.49,3794.3,4419.52,5913.33,6561.36,5711.87,4268.94,8022.41,5633.22,4010.71,3372.43
CABIN1,587.13,551.56,599.49,1143.1,551.56,878.17,547.75,642.59,915.51,830.75,629.35,723.08,521.76,813.63,651.58,1127.35,417.77,808,341.51,679.29,575.03,476.71,854.13,693.58,540.19,603.67,808
PPP6R3,1745.2,1617,902.89,1081.39,1225.22,1030.12,909.17,703.28,1277.29,457.25,2537.92,819.3,2400.97,1540.37,3901.01,921.88,1216.75,6471.02,1096.5,1066.48,854.13,1175.27,607.87,878.17,660.68,2119.22,3349.13
FAM27E2,0,1.46,0,1.38,4.31,0,0.74,0,0,2.92,6.36,5.77,1.91,2.94,2.86,8.71,9.78,2.29,1.27,0,1.08,0.99,0.71,0,0.93,1.31,1.11
AMFR,2271.4,1295.13,2075.59,1909.85,1605.83,954.43,2004.85,2193.99,1313.23,2133.97,2895.31,1551.09,2956.17,7433.4,6983.79,1119.56,1143.1,6935.54,759.08,1268.46,1757.34,1806.78,2520.38,551.56,1096.5,1617,2739.08
SPATA32,3.03,2.39,2.39,9.48,3.76,2.25,0.34,3.35,8.51,3.08,8.58,3.53,2.39,1.39,1.01,4.62,0.66,6.52,0.59,1.71,6.78,4.31,8.51,0,9.06,2.78,3.14
PSMB10,995,1313.23,1208.34,2303.12,1059.11,1369.04,1467.37,1378.57,1923.14,3081.75,1508.65,1651,426.57,1143.1,890.44,1639.59,902.89,1286.18,438.59,1417.35,1794.29,1081.39,3060.45,1216.75,1896.65,1529.73,967.76
ENPP2,116.78,187.71,167.9,813.63,1417.35,214.27,420.68,215.77,221.86,341.51,591.22,176.29,49.91,866.07,45.21,265.87,518.15,79.45,73.03,109.66,171.45,189.02,1008.9,215.77,57.49,214.27,106.63
P4HB,11504.21,20593.91,12764.83,10225.32,12076.21,17804.06,15075.35,17558.94,15075.35,16269.83,10225.32,16727.26,5403.7,24832.5,12589.08,22072.07,15715.58,11035.54,14163.58,14262.1,16157.44,16960.78,12676.65,9740.98,26431.04,13123.73,31870.96
NPCDR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0
PLCG1,967.76,660.68,409.15,1066.48,518.15,1242.34,400.71,660.68,759.08,764.36,1081.39,647.07,1572.76,981.29,802.41,860.08,1519.15,728.11,1111.82,647.07,575.03,476.71,802.41,769.69,1037.29,1119.56,684.02
NLE1,157.68,229.72,256.78,246.28,283.05,221.86,226.54,153.34,201.25,182.55,229.72,253.23,260.38,202.66,122.64,426.57,189.02,444.72,194.36,336.79,346.29,251.48,273.37,141.02,514.56,221.86,253.23
TRIM33,698.41,271.48,358.54,470.14,343.89,244.57,260.38,246.28,253.23,178.77,571.05,312,376.41,249.73,426.57,269.6,466.88,316.37,559.28,176.29,269.6,358.54,152.28,195.72,336.79,329.84,329.84
MUC6,0,173.85,21.78,1.58,2.97,941.27,10.79,473.41,0.89,941.27,7.4,1.57,2.32,189.02,0.34,0.91,2.89,0.92,1.73,1,587.13,0,16.39,813.63,0.57,2032.85,0
UBE3C,1159.07,974.5,954.43,738.29,713.11,808,802.41,674.59,642.59,718.08,1322.37,571.05,713.11,961.07,902.89,1359.57,1104.13,1268.46,890.44,532.74,599.49,896.64,540.19,571.05,529.06,775.05,915.51
IQGAP1,3515.68,3419.52,5006.93,2090.03,4388.98,2090.03,2351.53,4575.41,3768.09,2417.67,5403.7,7589.61,2090.03,3039.3,4038.61,4607.24,2417.67,2335.28,2119.22,2224.63,3928.15,3955.48,3419.52,4298.64,1322.37,2976.74,3874.05
MAD2L2,915.51,660.68,684.02,1143.1,796.86,3060.45,1127.35,941.27,947.83,2133.97,307.69,708.18,878.17,1059.11,830.75,974.5,1151.06,988.12,583.07,500.46,759.08,708.18,1015.93,1088.92,1639.59,507.46,647.07
SIN3A,842.36,669.92,954.43,759.08,878.17,595.34,1250.98,551.56,684.02,251.48,708.18,848.22,830.75,848.22,995,563.18,435.55,559.28,406.31,665.29,624.99,753.83,555.41,660.68,305.55,825,693.58
ASPHD1,5.41,21.94,59.97,26.1,24.28,40.36,19.39,63.45,11.55,679.29,8.06,48.52,153.34,166.73,30.12,18.43,759.08,974.5,157.68,59.13,87.03,46.84,122.64,32.82,9.93,18.97,201.25
WSB1,866.07,647.07,529.06,1529.73,1498.22,753.83,473.41,1066.48,743.43,688.78,1397.83,460.44,591.22,525.39,1175.27,444.72,1359.57,733.19,665.29,412,624.99,769.69,669.92,647.07,836.53,1008.9,1183.45
LCE2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1GALT1,158.79,297.17,231.32,228.13,429.54,88.26,112.77,181.28,336.79,197.09,269.6,387.02,113.56,142.01,141.02,307.69,718.08,177.53,316.37,74.58,82.29,363.56,80.57,217.27,76.71,111.21,529.06
FHL2,511,1819.35,854.13,547.75,2777.33,191.67,454.09,4639.29,1350.18,830.75,521.76,921.88,16045.82,2976.74,141.02,1111.82,409.15,125.24,1044.52,2796.65,1331.57,9740.98,1806.78,1806.78,218.79,92.05,9279.58
ATXN7L3,688.78,902.89,743.43,1008.9,1059.11,595.34,547.75,769.69,830.75,679.29,567.1,723.08,620.67,1008.9,743.43,633.73,954.43,1159.07,802.41,872.1,896.64,884.29,733.19,368.65,1242.34,995,796.86
RP11-685N3.1,0,5.32,0,8.58,4.06,0,0,0,5.82,10.88,0,2.36,0,0,0,11.91,0,15.11,0,0,0,0,3.29,0,0,6.21,0
AGAP1,218.79,417.77,255,323.03,237.86,269.6,237.86,248,358.54,244.57,327.56,201.25,435.55,237.86,105.89,94.01,104.42,265.87,281.09,214.27,301.33,381.68,314.17,239.52,389.72,228.13,318.57
PLAA,432.53,397.93,435.55,483.38,567.1,532.74,275.28,616.37,363.56,323.03,629.35,37.59,327.56,514.56,507.46,503.95,1572.76,660.68,460.44,287.01,397.93,429.54,336.79,665.29,759.08,220.32,389.72
MUM1,633.73,591.22,583.07,988.12,389.72,450.94,775.05,591.22,693.58,759.08,269.6,591.22,723.08,728.11,532.74,358.54,305.55,733.19,262.2,884.29,748.61,432.53,698.41,988.12,543.96,420.68,457.25
