Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
C4orf21,95.34,50.27,43.02,74.58,46.84,49.21,35,46.5,108.14,48.18,167.9,79.45,40.64,43.32,153.34,48.87,221.86,199.85,175.07,72.01,30.34,68.07,26.67,57.08,87.03,98.73,38.67
MEX3C,447.82,334.46,753.83,414.87,642.59,647.07,271.48,532.74,400.71,253.23,669.92,825,389.72,511,567.1,848.22,848.22,759.08,1008.9,295.11,323.03,264.03,209.84,260.38,295.11,351.14,435.55
RPL34,29531.18,18689.27,56657.31,36357.37,48643.87,21320.18,81809.59,50359.33,40062.48,25354.3,51417.5,36864.92,43537.38,47974.16,51062.33,32315.87,64186.29,39785.74,38966.94,61999.83,44761.41,26248.46,65535,44452.21,19482.97,22380.2,26431.04
A2M,2047,2351.53,4210.15,5872.48,9945.68,4210.15,4972.34,9673.69,2701.35,4869.99,8247.98,5366.37,1519.15,6207.38,2956.17,15499.21,5441.3,2664.15,6250.56,2351.53,5006.93,3690.52,6840.04,4123.49,2090.03,3303,7230.1
USP48,842.36,529.06,616.37,718.08,567.1,866.07,579.04,612.11,708.18,381.68,629.35,854.13,575.03,764.36,432.53,412,981.29,503.95,511,348.71,518.15,532.74,454.09,656.11,486.75,503.95,713.11
NHLRC2,197.09,104.42,154.42,156.59,129.69,98.04,58.71,87.65,98.73,30.56,409.15,136.19,103.69,107.38,117.6,101.54,135.24,80.57,45.53,51.71,89.51,143.01,62.56,73.03,77.79,147.06,108.14
TLL2,3.38,7.94,10.31,3.99,4.54,3.92,3.53,25.72,2.78,4.21,4.35,0.68,0.34,17.9,2.43,0.66,3.72,1.6,1.23,3.14,7.22,5.32,17.38,14.89,21.78,0.66,12.64
FAM161A,95.34,39.22,37.05,45.85,41.81,108.9,12.74,58.71,62.56,50.27,20.11,57.89,64.34,56.28,59.55,47.17,111.99,140.04,68.07,28.45,30.78,15.8,19.39,39.79,75.64,97.36,44.89
MCPH1,265.87,141.02,199.85,156.59,242.88,239.52,242.88,187.71,108.14,81.14,423.61,125.24,136.19,228.13,133.36,129.69,368.65,262.2,371.22,125.24,244.57,353.59,190.34,214.27,197.09,91.41,157.68
PAMR1,39.5,16.88,144.01,32.36,215.77,59.97,87.03,50.27,18.7,12.09,176.29,6.67,21.01,169.07,55.1,32.82,70.51,25.35,17.38,25.35,120.94,22.59,120.94,38.12,11.04,17.38,124.37
SC5D,316.37,551.56,1159.07,341.51,679.29,409.15,381.68,486.75,371.22,426.57,603.67,426.57,426.57,373.81,1119.56,532.74,674.59,406.31,476.71,387.02,656.11,688.78,1350.18,612.11,244.57,379.04,665.29
ELOVL3,43.63,22.75,14.45,6.89,18.84,26.67,7.28,12.83,9.34,36.53,11.55,17,29.48,18.84,0.95,13.03,309.83,0.27,18.56,1.95,3.89,24.11,38.12,11.91,135.24,14.03,13.12
SIPA1L2,202.66,115.97,547.75,287.01,351.14,660.68,242.88,293.07,221.86,194.36,579.04,198.47,153.34,199.85,525.39,620.67,255,429.54,384.34,444.72,182.55,100.83,166.73,348.71,988.12,260.38,159.9
PTPN23,486.75,525.39,476.71,808,441.64,373.81,559.28,395.18,616.37,486.75,170.25,825,392.44,753.83,246.28,351.14,400.71,507.46,256.78,791.35,624.99,532.74,486.75,194.36,373.81,470.14,483.38
C12orf71,3.82,2.89,0,6.57,2.18,1.38,0.75,0.73,0.66,0,2.73,0.71,2.23,4.06,0,2.92,10.16,0,197.09,0.74,1.1,0,1.39,0,2.16,1,4.43
FGD4,39.5,63.45,82.87,81.14,143.01,172.65,37.05,63.45,47.17,48.52,258.57,102.25,39.22,97.36,144.01,24.81,353.59,118.43,279.14,20.26,71.5,98.73,47.84,27.64,23.42,100.83,107.38
CYP4A11,1.6,2.86,10,5.68,46.84,1.04,0,6.16,8.06,0.41,9.63,0,0.99,0.41,1.45,0,0,1.66,2.18,1.46,4.21,0,2.41,7.46,2.14,12.83,1.5
PDXK,1651,2720.15,1757.34,1745.2,1733.13,1508.65,1651,1340.84,2224.63,1066.48,1551.09,4038.61,1757.34,1991,2032.85,2255.7,1397.83,1216.75,1066.48,2664.15,1583.71,2319.15,2178.83,1936.53,3349.13,1697.45,4607.24
